cluster,n_terms,pairs,mean_sim,mean_dist,p25_sim,p50_sim,p75_sim,min_sim,max_sim
0,12,66,0.6109701991081238,0.38902977108955383,0.42296362668275833,0.6890651285648346,0.8047062009572983,0.10829030722379684,0.9566991329193115
1,12,66,0.605642557144165,0.3943574130535126,0.4825385734438896,0.6864125430583954,0.793931171298027,-0.0392640195786953,0.9947608113288879
2,12,66,0.5764347910881042,0.4235652685165405,0.1821773760020733,0.7500849068164825,0.8489346951246262,-0.0392640195786953,0.9504871368408203
3,12,66,0.5099318623542786,0.49006813764572144,0.1888144612312317,0.624827116727829,0.7371718138456345,-0.05788125470280647,0.9230964183807373
4,12,66,0.5984469652175903,0.40155303478240967,0.20624446123838425,0.7918205857276917,0.8548517823219299,-0.014411289244890213,1.0000001192092896
