cluster,top_terms
0,plastic waste; waste management; environmental impacts; value chain; plastic packaging; plastic recycling; supply chain; author s; solid waste; business models; assessment lca; packaging waste
1,plastic waste; environmental impacts; assessment lca; waste management; author s; recycled plastic; pet bottles; climate change; recycled plastics; mechanical properties; plastic recycling; energy consumption
