n,diameter_cos,mean_pairwise_cos,p90_pairwise_cos,p95_pairwise_cos,participation_ratio,spectral_entropy,cluster
2394,1.1760833263397217,0.581791341304779,0.7614673972129822,0.809446394443512,47.986244178363386,4.743070602416992,0
1,0.0,0.0,0.0,0.0,1e-12,-0.0,1
