cluster,top_terms
0,plastic waste; environmental impact; mechanical properties; compressive strength; asphalt mixtures; waste plastic; environmental impacts; tensile strength; waste materials; solid waste; recycled plastics; flexural strength
1,plastic waste; environmental impacts; environmental impact; recycled plastics; waste management; author s; food packaging; plastic recycling; recycling process; life cycle assessment lca; environmental benefits; recycling rates
