cluster,n_terms,pairs,mean_sim,mean_dist,p25_sim,p50_sim,p75_sim,min_sim,max_sim
0,12,66,0.682475209236145,0.3175247311592102,0.5553366839885712,0.6584270000457764,0.8549928665161133,0.3730532228946686,0.9691537022590637
1,12,66,0.6064438819885254,0.393556147813797,0.318843349814415,0.7402819693088531,0.853903129696846,-0.037476927042007446,0.9691537022590637
2,12,66,0.527927041053772,0.4720730185508728,0.3339785039424896,0.6292065680027008,0.7746105343103409,-0.037476927042007446,0.9691537022590637
