cluster,year,count
0,1999,1
0,2005,2
0,2009,1
0,2014,1
0,2017,1
0,2018,6
0,2019,1
0,2020,3
0,2021,7
0,2022,21
0,2023,14
0,2024,27
0,2025,18
1,1993,1
1,1994,1
1,1995,1
1,1996,1
1,1997,3
1,1999,1
1,2002,1
1,2003,1
1,2004,1
1,2005,1
1,2009,2
1,2010,4
1,2011,7
1,2012,4
1,2013,2
1,2014,8
1,2015,4
1,2016,3
1,2017,10
1,2018,17
1,2019,12
1,2020,22
1,2021,31
1,2022,43
1,2023,46
1,2024,76
1,2025,47
