cluster,year,count
0,1987,1
0,1992,1
0,1997,1
0,2001,1
0,2004,1
0,2005,1
0,2006,1
0,2007,1
0,2009,1
0,2010,2
0,2012,1
0,2013,2
0,2014,2
0,2015,3
0,2016,1
0,2017,5
0,2018,8
0,2019,5
0,2020,9
0,2021,22
0,2022,19
0,2023,18
0,2024,29
0,2025,15
1,1995,1
1,1996,1
1,1998,1
1,2001,1
1,2002,1
1,2004,2
1,2005,2
1,2006,3
1,2007,1
1,2009,2
1,2011,2
1,2012,2
1,2013,1
1,2014,2
1,2015,4
1,2016,5
1,2017,7
1,2018,4
1,2019,9
1,2020,11
1,2021,12
1,2022,24
1,2023,15
1,2024,33
1,2025,20
