cluster,top_terms
0,plastic waste; waste management; plastic packaging; plastic recycling; plastic pollution; environmental impacts; author s; recycled plastic; recycled plastics; plastic waste management; recycling rates; environmental impact
1,waste management; business models; recycled content; recycling targets; plastic waste; author s; environmental impacts; value chain; producer responsibility; recycling rates; supply chains; plastic packaging
