cluster,year,count
0,1996,1
0,1999,1
0,2003,1
0,2005,1
0,2006,1
0,2007,2
0,2009,1
0,2010,2
0,2011,2
0,2012,1
0,2013,2
0,2014,2
0,2015,4
0,2016,3
0,2017,3
0,2018,8
0,2019,5
0,2020,14
0,2021,17
0,2022,23
0,2023,23
0,2024,48
0,2025,27
1,1997,1
1,2006,1
1,2007,1
1,2009,1
1,2011,1
1,2013,1
1,2014,1
1,2016,1
1,2017,3
1,2018,2
1,2019,3
1,2020,8
1,2021,13
1,2022,28
1,2023,22
1,2024,34
1,2025,14
