cluster,top_terms
0,plastic waste; waste management; environmental impacts; plastic recycling; plastic pollution; recycled plastics; plastic packaging; author s; recycled content; assessment lca; recycling rates; has been
1,plastic waste; environmental impacts; this review; mechanical properties; global warming; have been; author s; assessment lca; waste management; waste plastics; has been; ghg emissions
