cluster,n_terms,pairs,mean_sim,mean_dist,p25_sim,p50_sim,p75_sim,min_sim,max_sim
0,12,66,0.40827950835227966,0.5917205214500427,0.22938361018896103,0.3226166367530823,0.6562012881040573,0.027955474331974983,0.9746140837669373
1,12,66,0.48631933331489563,0.5136805772781372,0.3173728585243225,0.5049128085374832,0.6552163511514664,0.15218713879585266,0.9240230321884155
2,12,66,0.2266484647989273,0.7733514308929443,0.09146260097622871,0.15588053315877914,0.26736196130514145,-0.041293248534202576,0.964971125125885
3,12,66,0.34298673272132874,0.6570132970809937,0.14019015058875084,0.32336604595184326,0.5260324776172638,0.016095304861664772,0.832809567451477
4,12,66,0.2681514620780945,0.7318485975265503,0.12122268043458462,0.18360120803117752,0.3271655961871147,-0.043663062155246735,0.9724286198616028
