cluster,n_terms,pairs,mean_sim,mean_dist,p25_sim,p50_sim,p75_sim,min_sim,max_sim
0,12,66,0.3390622138977051,0.6609377861022949,0.09316601417958736,0.306253045797348,0.5788427144289017,-0.03490493819117546,0.8986589312553406
1,12,66,0.41557812690734863,0.5844218730926514,0.0543678468093276,0.5199946165084839,0.6180338710546494,-0.02092386968433857,1.000000238418579
2,12,66,0.4098528027534485,0.5901472568511963,0.1774602234363556,0.41215096414089203,0.6014031320810318,-0.010868995450437069,0.8986589312553406
3,12,66,0.4224834740161896,0.577516496181488,0.23344699293375015,0.49282006919384,0.6044377088546753,-0.04774381220340729,0.820201575756073
