cluster,top_terms
0,compared other; behavioral changes; other regions; under protection foreign; protection foreign protection; foreign protection; foreign protection apply; protection foreign; under protection; protection apply; system influence; apply 2024
1,apply 2024; system influence; protection foreign protection; protection foreign; protection apply 2024; protection apply; other regions; under protection; little how; foreign protection apply; foreign protection; exhibited distinct
