cluster,top_terms
0,health concerns; behaviors due; previous studies; practical implications; poses significant; plastics reported; plastic waste; plastic recycling; increase plastic; i e; human health; high levels
1,plastic waste; plastic recycling; human health; findings suggest; behaviors due; previous studies; practical implications; poses significant; plastics reported; increase plastic; i e; high levels
