cluster,year,count
0,1999,2
0,2005,1
0,2006,3
0,2007,1
0,2009,1
0,2010,1
0,2011,3
0,2012,1
0,2013,2
0,2014,1
0,2017,2
0,2018,3
0,2019,6
0,2020,9
0,2021,16
0,2022,16
0,2023,26
0,2024,29
0,2025,14
1,1997,1
1,1999,1
1,2007,1
1,2009,2
1,2011,1
1,2014,1
1,2016,1
1,2017,1
1,2018,2
1,2019,4
1,2020,7
1,2021,3
1,2022,18
1,2023,17
1,2024,31
1,2025,22
