cluster,n,team_size_mean,team_size_median,pct_international,n_countries_mean
0,68,5.426470588235294,5.0,26.47058823529412,1.3529411764705883
1,84,5.333333333333333,4.0,29.761904761904763,1.4285714285714286
2,98,4.459183673469388,4.0,21.428571428571427,1.3061224489795917
