cluster,top_terms
0,plastic waste; waste management; environmental impacts; plastic recycling; energy recovery; plastic waste management; environmental impact; waste plastics; plastic packaging; life cycle assessment lca; recycling rates; mixed plastic
1,plastic waste; waste plastics; environmental impact; this review; waste management; have been; this work; waste plastic; has been; environmental impacts; polyethylene terephthalate pet; plastic wastes
