n,diameter_cos,mean_pairwise_cos,p90_pairwise_cos,p95_pairwise_cos,participation_ratio,spectral_entropy,cluster
137,0.7495479583740234,0.36235368251800537,0.4983846843242645,0.5496164411306381,38.57285567703081,4.13616418838501,0
113,0.90357905626297,0.486764132976532,0.6457386374473572,0.6893459409475327,32.177953099474784,3.9823243618011475,1
